amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,hour_of_day,day_of_week
207636.5,0.0,0.0,1092121.32,1299757.81,0,0,1,0,0,0,19,0
19117.48,0.0,0.0,609638.61,628756.09,0,0,1,0,0,0,10,0
16766.96,919567.72,936334.68,126753.55,109986.59,0,1,0,0,0,0,0,6
25288.82,45543.0,20254.18,0.0,0.0,0,0,0,0,1,0,11,2
94345.08,0.0,0.0,1244185.6,1338530.68,0,0,1,0,0,0,20,1
956822.44,20356.0,0.0,0.0,956822.44,0,0,0,0,0,1,17,1
226868.21,222303.0,0.0,213032.44,439900.65,0,0,1,0,0,0,17,5
104181.1,6449436.72,6553617.82,1236973.58,1132792.48,0,1,0,0,0,0,20,1
135771.16,0.0,0.0,198509.6,334280.76,0,0,1,0,0,0,11,2
87541.41,87541.41,0.0,0.0,87541.41,1,0,1,0,0,0,13,1
228450.52,3418639.27,3647089.8,3199216.84,3002446.29,0,1,0,0,0,0,19,1
18468.79,624.0,0.0,0.0,0.0,0,0,0,0,1,0,15,2
27649.18,8031392.27,8059041.45,3434955.04,3407305.87,0,1,0,0,0,0,23,3
945131.71,945131.71,0.0,0.0,0.0,1,0,0,0,0,1,19,4
318121.52,0.0,0.0,433086.71,751208.23,0,0,1,0,0,0,18,2
165169.69,0.0,0.0,295676.33,460846.02,0,0,1,0,0,0,12,5
124024.63,73382.0,0.0,687604.05,811628.68,0,0,1,0,0,0,17,4
318285.51,0.0,0.0,2476477.75,2794763.26,0,0,1,0,0,0,9,2
1362332.89,49314.0,0.0,267876.64,1630209.53,0,0,0,0,0,1,10,1
182689.24,0.0,0.0,597670.53,780359.77,0,0,1,0,0,0,19,0
337070.46,0.0,0.0,1068923.0,1405993.47,0,0,1,0,0,0,21,5
35882.61,0.0,0.0,0.0,0.0,0,0,0,0,1,0,10,5
76405.22,30857.0,0.0,505406.56,581811.78,0,0,1,0,0,0,13,5
134297.68,134297.68,0.0,419490.33,553788.01,1,0,1,0,0,0,11,2
104078.51,3097902.56,3201981.07,2042738.32,1938659.81,0,1,0,0,0,0,14,0
25624.22,652.0,0.0,0.0,0.0,0,0,0,0,1,0,18,6
88434.78,0.0,0.0,209585.71,298020.49,0,0,1,0,0,0,13,2
50100.17,14677.0,64777.17,35770.0,0.0,0,1,0,0,0,0,17,0
107976.76,21591.0,129567.76,0.0,0.0,0,1,0,0,0,0,19,2
48752.57,202903.0,251655.57,2408559.62,2359807.05,0,1,0,0,0,0,11,1
52599.32,3126773.39,3179372.71,204579.99,151980.66,0,1,0,0,0,0,19,3
335687.05,10886.0,0.0,36398.52,372085.58,0,0,0,0,0,1,11,2
471078.0,0.0,0.0,2841714.43,3312792.44,0,0,1,0,0,0,14,0
122075.35,3309786.35,3431861.7,2527366.27,2405290.92,0,1,0,0,0,0,15,3
18311.07,0.0,0.0,0.0,0.0,0,0,0,0,1,0,17,5
36067.72,0.0,0.0,0.0,0.0,0,0,0,0,1,0,14,2
497028.92,9113.0,0.0,724531.84,1221560.76,0,0,1,0,0,0,16,0
396252.59,21089.0,0.0,11775.11,408027.7,0,0,1,0,0,0,10,1
6273660.45,6273660.45,0.0,0.0,0.0,1,0,0,0,0,1,5,5
27469.39,0.0,0.0,0.0,0.0,0,0,0,0,1,0,9,5
260293.21,20105.0,0.0,0.0,260293.21,0,0,1,0,0,0,14,4
14188.52,0.0,0.0,0.0,0.0,0,0,0,0,1,0,11,4
23723.97,0.0,0.0,0.0,0.0,0,0,0,0,1,0,8,0
217253.77,51503.0,0.0,141050.48,358304.24,0,0,1,0,0,0,9,6
1159405.02,0.0,0.0,2772298.96,3931703.98,0,0,0,0,0,1,22,0
